id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
711704329215940989,Casinha caramelo no Parque Lafaete,440836511,Lucy,,Jardim América,-22.79036,-43.32694,Entire home/apt,70,1,1,2022-09-17,1,3,365,1,
1174007,100% Best View In Copa In Suite 2,3962758,Thiago Luiz,,Copacabana,-22.97277,-43.17966,Private room,107,2,189,2022-09-09,1.76,6,338,37,
53533,Walk to Joatinga Beach/PedraDaGávea View Casa/Pool,249439,Sherri & Andre,,Joá,-23.008092528125978,-43.29113085886024,Entire home/apt,1064,2,26,2022-09-12,0.20,1,338,11,
64795,Ipanema amazing 3 BDRs apartment.,93005,Andrea,,Ipanema,-22.98169,-43.2028,Entire home/apt,407,3,41,2022-06-09,0.29,1,201,18,
65546,"Beach Block 3bed Penthouse, Ipanema Best Location",70933,Goitaca,,Ipanema,-22.98599,-43.20299,Entire home/apt,1432,2,69,2022-03-18,0.49,8,316,2,
46613950,"Quarto,  banheiro privativo.",323880480,Luciana,,Campo Grande,-22.82802,-43.59974,Private room,54,1,0,,,1,180,0,
66797,Studio Apart  for rent in ipanema.,328096,Carlos,,Copacabana,-22.9824,-43.19593,Entire home/apt,165,3,247,2022-08-05,1.76,2,182,33,
70080,Apart-hotel in Ipanema with service and garage,319672,Valeria,,Ipanema,-22.9854,-43.19602,Entire home/apt,314,2,471,2022-09-14,3.61,5,212,64,
834046,Up to 50% off monthly Ipanema 1 min from the beach,1422607,Leo&Archanjo,,Ipanema,-22.991,-43.18991,Entire home/apt,199,4,100,2022-08-30,0.91,38,94,15,
13710898,Barra da Tijuca - Ocean Front - Beach,80055342,Eliana,,Barra da Tijuca,-23.0129,-43.32435,Entire home/apt,800,5,18,2020-02-29,0.26,3,0,0,
8410797,Ipanema(Arpoador) 100mdo Mar/ Jan & Carnaval +Fev,42038091,Sheila,,Ipanema,-22.98871,-43.19334,Private room,1000,3,1,2017-09-28,0.02,3,362,0,
76245,Spacious Home Heart of Rio290m4QT. Discount10%week,406651,Diogo,,Copacabana,-22.98192,-43.19397,Entire home/apt,689,2,128,2022-06-19,0.94,1,192,3,
